CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346,165,33,372.86,2,3,2,232,Others
12347,3,71,1323.32,5,4,4,544,Champions
12348,74,20,222.15999999999997,2,2,1,221,At Risk
12349,43,102,2671.14,3,4,5,345,Others
12351,11,21,300.93,5,2,2,522,Potential Loyalists
12352,11,18,343.8,5,2,2,522,Potential Loyalists
12353,44,20,317.76,3,2,2,322,Others
12355,203,22,488.21000000000004,1,2,2,122,At Risk
12356,16,84,3562.25,4,4,5,445,Champions
12357,24,165,12079.99,4,5,5,455,Champions
12358,11,58,2719.01,5,3,5,535,Loyal Customers
12359,61,117,2563.36,3,4,5,345,Others
12360,15,88,1590.83,5,4,4,544,Champions
12361,98,19,321.35,2,2,2,222,At Risk
12362,374,1,130.0,1,1,1,111,At Risk
12366,269,3,500.24,1,1,2,112,At Risk
12368,264,18,917.7,1,2,3,123,At Risk
12369,49,93,1791.15,3,4,4,344,Others
12370,260,35,774.62,1,3,3,133,Others
12371,45,104,2179.42,3,4,5,345,Others
12373,260,37,763.0500000000001,1,3,3,133,Others
12374,57,50,2246.29,3,3,5,335,Others
12376,25,13,503.15,4,1,2,412,Potential Loyalists
12377,17,75,1798.2,4,4,4,444,Champions
12378,198,82,1407.7,1,4,4,144,Others
12379,58,41,767.98,3,3,3,333,Others
12380,101,173,6951.49,2,5,5,255,Others
12385,15,65,1938.4,5,4,4,544,Champions
12386,2,8,258.90000000000003,5,1,2,512,Potential Loyalists
12387,51,9,143.94,3,1,1,311,Others
12388,81,46,1120.45,2,3,4,234,Others
12389,38,49,1433.33,3,3,4,334,Others
12391,100,181,2312.53,2,5,5,255,Others
12392,227,7,234.75000000000003,1,1,1,111,At Risk
12393,18,43,816.85,4,3,3,433,Loyal Customers
12395,7,98,2048.64,5,4,4,544,Champions
12396,310,65,931.4300000000001,1,4,3,143,Others
12399,21,51,853.65,4,3,3,433,Loyal Customers
12400,50,11,205.25,3,1,1,311,Others
12402,28,59,1031.3,4,3,4,434,Loyal Customers
12403,157,4,591.6600000000001,2,1,3,213,At Risk
12404,318,1,63.24,1,1,1,111,At Risk
12406,35,61,2975.06,4,3,5,435,Loyal Customers
12408,21,54,1452.22,4,3,4,434,Loyal Customers
12409,56,155,12346.62,3,5,5,355,Others
12410,138,14,320.38,2,1,2,212,At Risk
12411,45,22,346.9,3,2,2,322,Others
12412,38,66,1370.05,3,4,4,344,Others
12413,38,13,241.35,3,1,1,311,Others
12414,99,10,390.0,2,1,2,212,At Risk
12415,11,212,19543.84,5,5,5,555,Champions
12416,292,11,202.56,1,1,1,111,At Risk
12417,46,178,3167.81,3,5,5,355,Others
12418,49,68,1352.62,3,4,4,344,Others
12419,21,25,503.01,4,2,2,422,Potential Loyalists
12421,51,20,291.56,3,2,2,322,Others
12422,30,133,4428.24,4,5,5,455,Champions
12423,23,40,763.08,4,3,3,433,Loyal Customers
12424,58,62,1579.07,3,4,4,344,Others
12425,84,55,964.21,2,3,3,233,Others
12426,298,47,762.48,1,3,3,133,Others
12427,7,10,303.5,5,1,2,512,Potential Loyalists
12429,1,76,3735.51,5,4,5,545,Champions
